day,time,rank,forgo none floor,forgo none u,forgo one floor,forgo one u,forgo two floor,forgo two u,forgo three floor,forgo three u
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.911,Basement,1.6,Third,1.118,Basement,3.018
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.771,First,1.391,Third,0.942,Basement,2.264
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,0.979,First,0.769,Fourth,0.556,First,1.174
Monday,7:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.398,First,1.098,Fourth,0.687,Basement,2.012
Monday,10:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,1.359,Basement,1.533,Basement,0.906,Basement,2.892
Tuesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,2.097,First,1.647,Third,0.921,First,2.515
Tuesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.398,First,1.098,Third,0.658,Basement,1.886
Tuesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.827,Basement,0.933,Basement,0.552,Basement,1.761
Tuesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,1.064,Basement,1.2,Basement,0.709,Basement,2.264
Tuesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.538,First,1.208,Third,0.855,Basement,2.138
Wednesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Third,1.775,Basement,1.867,Fourth,1.407,Basement,3.521
Wednesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.491,First,1.171,Third,0.833,First,1.789
Wednesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,1.005,Basement,1.133,Basement,0.67,Basement,2.138
Wednesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Third,1.165,Second,1.052,Third,0.921,Basement,1.761
Wednesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Third,1.221,Basement,1.2,Third,0.964,Basement,2.264
Thursday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.818,First,1.428,Third,1.205,Basement,2.641
Thursday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Third,1.054,Basement,1.0,Third,0.833,Basement,1.886
Thursday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,1.005,Basement,1.133,Basement,0.67,Basement,2.138
Thursday,7:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,2.377,First,1.867,Third,1.337,First,2.851
Thursday,10:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.398,Basement,1.4,Third,1.074,Basement,2.641
Friday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Second,1.291,Second,1.343,Fourth,1.047,Basement,2.264
Friday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.911,First,1.501,Second,0.975,Basement,2.767
Friday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Second,1.186,Basement,1.333,Fourth,1.015,Basement,2.515
Friday,7:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.771,Basement,1.867,Basement,1.103,Basement,3.521
Friday,10:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,2.004,Basement,2.0,Basement,1.182,Basement,3.773
