day,time,rank,forgo none floor,forgo none u,forgo one floor,forgo one u,forgo two floor,forgo two u,forgo three floor,forgo three u
Monday,10:30 AM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.889,Third,1.524,Basement,1.073,Basement,3.036
Monday,1:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.751,First,1.344,Third,0.902,Basement,2.277
Monday,4:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,0.967,First,0.742,Fourth,0.542,First,1.133
Monday,7:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.382,First,1.061,Basement,0.715,Basement,2.024
Monday,10:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.993,Basement,0.68,Basement,1.028,Basement,2.91
Tuesday,10:30 AM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,2.073,First,1.591,Third,0.881,First,2.427
Tuesday,1:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.382,First,1.061,Basement,0.67,Basement,1.898
Tuesday,4:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,0.737,First,0.566,Basement,0.626,Basement,1.771
Tuesday,7:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.777,Third,0.598,Basement,0.805,Basement,2.277
Tuesday,10:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.52,First,1.167,Third,0.818,Basement,2.151
Wednesday,10:30 AM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.956,Third,1.912,Fourth,1.372,Basement,3.542
Wednesday,1:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.474,Third,1.135,Third,0.797,Basement,1.771
Wednesday,4:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,0.783,Third,0.627,Basement,0.76,Basement,2.151
Wednesday,7:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.284,Third,1.255,Third,0.881,Second,1.772
Wednesday,10:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.345,Third,1.315,Third,0.923,Basement,2.277
Thursday,10:30 AM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.797,Third,1.643,Third,1.154,Basement,2.657
Thursday,1:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.161,Third,1.135,Third,0.797,Basement,1.898
Thursday,4:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.734,Third,0.717,Basement,0.76,Basement,2.151
Thursday,7:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,2.35,Third,1.823,Third,1.28,First,2.75
Thursday,10:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.498,Third,1.464,Third,1.028,Basement,2.657
Friday,10:30 AM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.345,Third,1.315,Fourth,1.021,Basement,2.277
Friday,1:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.889,First,1.45,Second,1.053,Basement,2.783
Friday,4:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.131,Third,1.106,Fourth,0.989,Basement,2.53
Friday,7:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.751,First,1.344,Basement,1.252,Basement,3.542
Friday,10:30 PM,"{'Close to Food': 5, 'Quietness': 1, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.981,First,1.52,Basement,1.341,Basement,3.795
